Gene	Transcripts
KRT2	NM_000423.3
SEC14L2	NM_012429.5
PLXNB1	NM_002673.5
FUBP1	NM_003902.4
PAG1	NM_018440.4
ALG1	NM_019109.5
SERPINB1	NM_030666.4
FAM83B	NM_001010872.3
CCDC137	NM_199287.3
ZNF175	NM_007147.4
TYROBP	NM_001173514.2
ST8SIA5	NM_013305.6
C3orf84	NM_001080528.3
OR8H2	NM_001005200.1
ZNF582	NM_144690.3
UBE2D4	NM_015983.4
ZHX1	NM_001017926.2
BBS1	NM_024649.5
FZD5	NM_003468.4
MAPK12	NM_002969.6
UCHL3	NM_006002.4
ZBTB43	NM_001135776.1
LRIT2	NM_001284223.1
SAR1B	NM_016103.4
SDHAF3	NM_020186.3
LRRC74B	NM_001291006.2
ERVV-2	NM_001191055.2
EMC1	NM_015047.3
CLUL1	NM_001289036.1
EIF1AD	NM_032325.4
DYNLT3	NM_006520.3
TSPAN16	NM_012466.4
TADA1	NM_053053.4
DSC2	NM_004949.5
NIT2	NM_020202.5
CACYBP	NM_014412.3
NCK1	NM_006153.6
SPDYE1	NM_175064.2
HS3ST5	NM_153612.3
ZNF44	NM_016264.4
OR6C6	NM_001005493.1
ANKUB1	NM_001144960.3
C8orf48	NM_001007090.3
GPATCH11	NM_174931.3
TBC1D28	NM_001039397.2
BTAF1	NM_003972.3
PALM2AKAP2	NM_007203.5
TTN	NM_133378.4
LIPF	NM_001198828.2
OR7E24	NM_001079935.1
ADAM10	NM_001110.4
PREX2	NM_025170.6
FBXO17	NM_024907.7
ALDH18A1	NM_002860.4
OR2K2	NM_205859.2
LRRC37A3	NM_199340.4
SPTSSA	NM_138288.4
NECAP2	NM_018090.5
NEDD9	NM_006403.4
EPRS1	NM_004446.3
SLC19A3	NM_025243.4
TAS2R38	NM_176817.5
PRODH2	NM_021232.1
TESC	NM_017899.4
COL27A1	NM_032888.4
OR1N2	NM_001004457.2
LYZL4	NM_144634.4
MAT2B	NM_013283.5
SMIM32	NM_001350994.2
NUDT7	NM_001105663.3
PPP4R3B	NM_020463.4
PIGB	NM_004855.5
SLC15A1	NM_005073.4
RAI1	NM_030665.4
AGXT2	NM_031900.4
ARL4D	NM_001661.4
ISM2	NM_182509.4
IQGAP1	NM_003870.4
GGT6	NM_153338.4
IFI35	NM_005533.5
TPCN1	NM_017901.6
MAML3	NM_018717.5
TMEM255A	NM_017938.3
FGR	NM_005248.3
ODC1	NM_001287188.2
COG2	NM_007357.3
PNMT	NM_002686.4
VPS18	NM_020857.3
C8orf86	NM_207412.2
MYH10	NM_001256012.2
DNMBP	NM_015221.4
ZCCHC9	NM_032280.2
BET1	NM_005868.6
PMM2	NM_000303.3
CARD19	NM_032310.5
POLE2	NM_002692.4
EPB41L3	NM_012307.4
HSF4	NM_001538.4
STOML2	NM_013442.3
KLRC3	NM_002261.2
SCN10A	NM_006514.3
STOML1	NM_004809.5
KIF6	NM_145027.6
NTRK3	NM_001012338.2
MYCBP	NM_012333.5
KCNIP2	NM_014591.5
DYNC1I2	NM_001378.3
FEM1B	NM_015322.5
FRMD1	NM_024919.5
FRAT1	NM_005479.4
KIAA2013	NM_138346.3
VPS29	NM_001282150.1
TIGD3	NM_145719.3
TRIM7	NM_203296.1
MED19	NM_153450.4
DND1	NM_194249.3
GID8	NM_017896.3
SUPT5H	NM_003169.3
RSRC2	NM_023012.6
MYH13	NM_003802.3
PATZ1	NM_032052.2
OR4F16	NM_001005277.1
PHF23	NM_024297.3
NUDT21	NM_007006.3
TRMT10A	NM_152292.5
RARS2	NM_020320.5
DEFB135	NM_001033017.2
KCNH7	NM_033272.4
RFPL1	NM_021026.2
CT47A9	NM_001080138.1
CCDC92B	NM_001355573.2
GALNT9	NM_001122636.2
OBSL1	NM_001173408.2
ZSCAN1	NM_182572.4
DCTN2	NM_006400.4
CCDC71L	NM_175884.6
GAB2	NM_080491.3
ALKBH6	NM_032878.3
RNF31	NM_017999.5
CITED4	NM_133467.3
IQCM	NM_001363507.2
MAOA	NM_000240.3
CMIP	NM_030629.3
COMMD7	NM_053041.2
MFAP5	NM_003480.4
BECN2	NM_001290693.1
SEC62	NM_003262.4
CSNK1A1L	NM_145203.6
TM9SF2	NM_004800.3
ZSCAN21	NM_145914.3
DDX6	NM_004397.6
NIPBL	NM_015384.5
TMEM168	NM_022484.6
HHAT	NM_018194.6
FUT7	NM_004479.4
MAB21L3	NM_152367.2
PHF7	NM_016483.7
ARHGAP5	NM_001030055.2
KRTAP21-2	NM_181617.3
CACNB1	NM_000723.5
KCNH1	NM_002238.4
PRH2	NM_001110213.1
UBIAD1	NM_013319.2
ARPP21	NM_198399.2
PROCA1	NM_152465.3
VSIG1	NM_182607.5
EDNRA	NM_001166055.1
BCL7B	NM_001707.4
C2orf88	NM_032321.3
GATD1	NM_182612.4
HSCB	NM_172002.5
GJA1	NM_000165.5
PABPC1	NM_002568.4
TLK2	NM_006852.4
TBC1D7	NM_016495.6
DOCK5	NM_024940.8
SMARCE1	NM_003079.5
WTIP	NM_001080436.2
LGR6	NM_021636.3
CALHM2	NM_015916.5
CKAP5	NM_014756.3
GRIP1	NM_001178074.2
TYW3	NM_138467.3
KLHL28	NM_001308112.2
ZC3H13	NM_015070.6
GALNT3	NM_004482.4
PCNX4	NM_022495.5
STAP1	NM_012108.4
CASP7	NM_033338.6
MRGPRD	NM_198923.2
ZNF337	NM_001290261.1
KCNE3	NM_005472.4
SLC4A9	NM_031467.3
GIMD1	NM_001195138.1
NTF4	NM_006179.4
PLPP1	NM_176895.2
ZNF853	NM_017560.3
PDGFB	NM_002608.4
DEFB105B	NM_001040703.3
KIAA1107	NM_015237.4
APBB1	NM_001164.5
MARCHF2	NM_016496.5
ZNF804A	NM_194250.2
RPRD1B	NM_021215.4
OR51H1	NM_001348291.1
ZNF736	NM_001170905.3
H2AC13	NM_003509.2
GLYATL2	NM_145016.4
ASB16	NM_080863.5
ALG12	NM_024105.4
POLD4	NM_021173.5
EXO5	NM_022774.2
ANXA6	NM_001155.5
VCX2	NM_016378.3
COX4I2	NM_032609.3
BAG5	NM_001015048.2
FBXO34	NM_017943.4
VGLL1	NM_016267.4
FAM53B	NM_014661.4
NRP2	NM_003872.3
CYP27B1	NM_000785.4
MFAP3L	NM_021647.8
BRF2	NM_018310.4
GCFC2	NM_003203.5
TTLL2	NM_031949.5
CCDC198	NM_018168.4
GRIK5	NM_001301030.1
DOCK6	NM_020812.4
UTP4	NM_032830.3
CDC42EP5	NM_145057.4
MAP2K7	NM_001297555.2
ABCD1	NM_000033.4
SP8	NM_182700.6
PGC	NM_001166424.1
MMAB	NM_052845.4
TLR9	NM_017442.3
NOL3	NM_001185057.2
RILPL1	NM_178314.5
CDK13	NM_003718.5
TYW1	NM_018264.4
CSGALNACT1	NM_018371.4
TEX26	NM_152325.3
NYNRIN	NM_025081.3
ARFGEF2	NM_006420.3
LOXHD1	NM_144612.6
GSAP	NM_017439.4
DHX38	NM_014003.4
HBM	NM_001003938.4
ASB3	NM_016115.5
CREB5	NM_004904.3
AKIRIN2	NM_018064.4
RARG	NM_000966.6
ZSCAN16	NM_025231.3
ZFP69B	NM_023070.3
RNF175	NM_173662.4
ANGPT2	NM_001147.3
KCNAB2	NM_172130.3
ECD	NM_007265.3
PITPNA	NM_006224.4
CARD14	NM_001257970.1
BUD23	NM_001202560.3
KLHL17	NM_198317.3
SNAI1	NM_005985.4
LRPAP1	NM_002337.4
SPAG9	NM_003971.6
TEK	NM_000459.4
ABCA6	NM_080284.3
EIF2AK2	NM_002759.3
ARNTL2	NM_020183.5
CCDC116	NM_152612.3
PARP15	NM_152615.2
IL1RL1	NM_016232.5
DDRGK1	NM_023935.3
TAF1B	NM_005680.3
AQP12B	NM_001102467.2
BPY2B	NM_001002760.1
PLCH1	NM_014996.3
SCCPDH	NM_016002.3
ZRANB1	NM_017580.3
PTPN11	NM_001330437.1
TNFSF12-TNFSF13	NM_172089.4
ALS2	NM_020919.4
COL22A1	NM_152888.3
VTA1	NM_016485.5
CARM1	NM_199141.2
ETDC	NM_001358449.1
PYGO1	NM_015617.3
CCDC68	NM_025214.3
H3C13	NM_001123375.2
TEX15	NM_001350162.2
KRT24	NM_019016.3
DNAL1	NM_031427.4
ATXN7L3B	NM_001136262.2
FAM135B	NM_015912.4
ANKRD29	NM_173505.4
ZNF366	NM_152625.3
CNGA4	NM_001037329.4
MLLT1	NM_005934.4
ZSCAN9	NM_006299.5
SIX4	NM_017420.5
KRT31	NM_002277.3
HMGN4	NM_006353.3
HAPLN2	NM_021817.3
MAP3K12	NM_006301.4
PPP4R4	NM_058237.2
SLC25A36	NM_018155.3
AMELX	NM_001142.2
CPLX4	NM_181654.4
TEDDM1	NM_172000.4
NUDCD1	NM_032869.4
HCRTR2	NM_001526.4
SH3BP1	NM_018957.5
DPYSL4	NM_006426.3
CMKLR1	NM_001142343.2
SEMA3A	NM_006080.3
BTBD7	NM_001002860.4
RBM15	NM_022768.4
STK3	NM_006281.4
ZNF282	NM_003575.4
AEBP2	NM_153207.5
C11orf24	NM_022338.4
SMIM24	NM_001136503.2
SNRPD1	NM_006938.4
DROSHA	NM_013235.5
TRAFD1	NM_006700.3
NCKAP1	NM_205842.3
POMT1	NM_007171.3
FFAR3	NM_005304.5
ZBTB34	NM_001099270.2
RHOJ	NM_020663.5
PARD6G	NM_032510.4
SIGLEC5	NM_003830.3
OTC	NM_000531.6
CYP2D6	NM_000106.6
PDK2	NM_002611.5
DDOST	NM_005216.4
EPN1	NM_013333.3
PYROXD1	NM_024854.5
IL13	NM_002188.3
MYL6B	NM_002475.5
CPPED1	NM_018340.3
CAMK2N2	NM_033259.3
FSCN1	NM_003088.4
ACOT12	NM_130767.3
MMP25	NM_022468.5
CCDC38	NM_182496.3
AK6	NM_016283.5
BMERB1	NM_033201.3
USP5	NM_001098536.2
RPS17	NM_001021.6
HDAC11	NM_024827.4
TMEM238	NM_001190764.2
S100G	NM_004057.3
PRRT1	NM_030651.4
CDCA5	NM_080668.4
SMARCB1	NM_003073.5
C5orf60	NM_001142306.2
MYL6	NM_021019.5
STAM	NM_003473.4
MS4A8	NM_031457.2
ZNF155	NM_003445.3
TTK	NM_001166691.1
ERCC2	NM_000400.3
HGFAC	NM_001297439.2
CDIPT	NM_006319.5
TAB2	NM_001292034.3
SCMH1	NM_001031694.2
CLDN11	NM_005602.6
IRF6	NM_006147.4
MRPL2	NM_001300848.2
CPXM2	NM_198148.3
LMBR1	NM_022458.4
SURF1	NM_003172.4
ADORA2A	NM_000675.6
ZNF705E	NM_001278713.1
AIF1L	NM_031426.4
CDADC1	NM_030911.4
FBXO46	NM_001329632.1
SLC41A2	NM_032148.5
HNRNPUL2	NM_001079559.3
MYOZ3	NM_001122853.3
AMDHD2	NM_015944.4
SEC23B	NM_001172745.3
NPFF	NM_003717.4
OR4X1	NM_001004726.1
ABCF3	NM_018358.2
SLC46A1	NM_080669.6
PLA2G5	NM_000929.3
AMELY	NM_001143.1
NPPA	NM_006172.4
SFR1	NM_145247.4
RORB	NM_001365023.1
TCIRG1	NM_006019.4
GHRH	NM_001184731.2
RP1L1	NM_178857.6
NPAS4	NM_178864.4
ADAM9	NM_003816.3
IGF2BP3	NM_006547.3
GALNT13	NM_052917.4
PSIP1	NM_033222.5
C17orf107	NM_001145536.2
CBX7	NM_175709.5
BRPF1	NM_001003694.2
OR2AT4	NM_001005285.2
RPAIN	NM_001033002.3
TKTL2	NM_032136.5
MYOG	NM_002479.6
SRRD	NM_001013694.3
NPVF	NM_022150.3
SNTG1	NM_001287813.3
SUPT20H	NM_017569.3
HERPUD2	NM_022373.5
FUNDC1	NM_173794.4
JTB	NM_006694.4
C20orf204	NM_001348090.1
ADRA2B	NM_000682.7
CT45A10	NM_001291527.1
PRRT1B	NM_001365666.1
HSP90AB1	NM_007355.4
PTTG1IP	NM_001286822.1
SPAG17	NM_206996.4
WRN	NM_000553.6
ASB1	NM_001040445.3
USP17L13	NM_001256855.1
ABCD3	NM_002858.4
DMAP1	NM_019100.5
CMAS	NM_018686.6
GBX1	NM_001098834.2
CCDC115	NM_032357.4
TMEM50B	NM_006134.7
EVC	NM_001306090.2
PIDD1	NM_145886.4
KRTAP1-4	NM_001257305.1
CD200R1L	NM_001008784.2
H2BC7	NM_003522.3
KCTD20	NM_173562.5
FANCF	NM_022725.4
CPXM1	NM_019609.5
FARP1	NM_005766.4
DOCK8	NM_203447.3
CXCL5	NM_002994.5
CCDC188	NM_001365892.2
RSPH9	NM_152732.5
CCN2	NM_001901.3
GALR3	NM_003614.2
MAD2L1BP	NM_014628.3
AAMDC	NM_024684.3
KRT84	NM_033045.4
ADRA1D	NM_000678.4
ST6GALNAC2	NM_006456.3
NIBAN2	NM_022833.4
WFIKKN1	NM_053284.3
MDH1	NM_001316374.2
AP3D1	NM_001261826.3
POLR3G	NM_006467.3
SPTY2D1OS	NM_001355570.3
HHIPL1	NM_001127258.2
ZNF816	NM_001031665.3
HIC2	NM_015094.3
LOXL3	NM_032603.5
PIFO	NM_181643.6
SUZ12	NM_015355.4
SLC11A2	NM_000617.3
UBE2S	NM_014501.3
SALL1	NM_002968.3
SLC25A44	NM_014655.4
NCKAP5	NM_207481.4
ANKS6	NM_173551.5
HUNK	NM_014586.2
AGTRAP	NM_020350.5
MAGI3	NM_152900.3
JMJD7	NM_001114632.2
AK8	NM_152572.3
CT47A3	NM_001080144.1
COX7B	NM_001866.3
AHSA1	NM_012111.3
FLYWCH2	NM_138439.3
MMP24OS	NM_001355003.2
NTSR1	NM_002531.3
VKORC1L1	NM_173517.6
RHBDL2	NM_017821.5
BORCS6	NM_017622.3
CD5L	NM_005894.3
NPM3	NM_006993.2
OR13D1	NM_001004484.1
RASL12	NM_016563.4
EPHB4	NM_004444.5
USP9Y	NM_004654.4
CSTF2T	NM_015235.3
MTPN	NM_145808.4
SMIM20	NM_001145432.1
KRT33A	NM_004138.4
AEN	NM_022767.4
UGT1A3	NM_019093.2
ALG5	NM_013338.5
BAHCC1	NM_001291324.2
BMF	NM_033503.4
PLEKHG1	NM_001029884.3
C19orf81	NM_001195076.2
ARMH2	NM_001282492.2
RAD50	NM_005732.4
